total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
273408,267,10,104.78232583443862,116.8,-0.0036268962430767715,5.118331038951874,-0.731955100595951,0.0038600462357862853,0.03046875,0.7626501239836216,33.274168050289155,0.49500560760498047,5.402742385864258,0.12312646955251694,0.2696966230869293,0.0,0.14812558889389038,0.17008467018604279,0.18905416131019592,-1.7058966159820557,-1.663163661956787,-1.6263328790664673,0.0,1.0
274432,268,7,132.02636948278314,129.0,-0.007715783803723753,2.114996302127838,-0.7331509575247764,0.007685466020484455,0.0675537109375,0.7373966693878173,25.038274657726287,-0.6426010131835938,3.5802431106567383,0.12088673561811447,0.2662491798400879,0.0,0.14996755123138428,0.170002743601799,0.18880629539489746,-1.7022933959960938,-1.6633204221725464,-1.6268113851547241,0.0,1.0
275456,269,10,122.85835534111739,121.2,-0.0036068315268494187,10.152392661571502,-0.7348236411809921,0.004348962854419369,0.036181640625,0.7267704635858536,39.53080923557282,-2.027223587036133,6.47337532043457,0.12129276990890503,0.26553377509117126,0.0,0.15265652537345886,0.1692628115415573,0.1861407458782196,-1.6970367431640625,-1.6647428274154663,-1.6319594383239746,0.0,1.0
276480,270,8,119.69777628620884,111.5,-0.004749488434754312,3.084401571750641,-0.7387352988123894,0.0042115171236218885,0.044921875,0.7887083567678929,19.749029672145845,-0.3344480097293854,3.921265125274658,0.12063650041818619,0.27618756890296936,0.0,0.15521711111068726,0.1686708778142929,0.18257127702236176,-1.6920349597930908,-1.665846347808838,-1.638861060142517,0.0,1.0
277504,271,9,125.5874114456477,109.66666666666667,-0.004286611848510802,3.568114048242569,-0.741718353331089,0.0037415651298942977,0.045654296875,0.7869224779307842,31.33870025873184,-0.7366973757743835,4.243011474609375,0.12443089485168457,0.2713581919670105,0.0,0.15454711019992828,0.16833774745464325,0.18104200065135956,-1.6933434009552002,-1.6664966344833374,-1.6418206691741943,0.0,1.0
278528,272,8,135.0647635921108,126.5,-0.005884513619821519,4.323330418765545,-0.7423179924488068,0.007436544520896859,0.058837890625,0.7695188589394093,28.678483736515044,0.45290935039520264,4.896594047546387,0.12722162902355194,0.27185332775115967,0.0,0.15352395176887512,0.16845755279064178,0.18089434504508972,-1.695341944694519,-1.6662712097167969,-1.642106533050537,0.0,1.0
279552,273,10,128.06597411173354,124.4,-0.00515077254967764,2.950276705622673,-0.7429688230156899,0.003776204463792965,0.0446044921875,0.750143327564001,23.562754130363466,0.10664230585098267,4.05411958694458,0.11818569153547287,0.2818436920642853,0.0,0.15353986620903015,0.1679195612668991,0.18173028528690338,-1.6953108310699463,-1.6673370599746704,-1.6404885053634644,0.0,1.0
280576,274,9,124.06844758193127,112.55555555555556,-0.0054010643623769285,4.316638651490211,-0.7466413080692291,0.0035670683908392677,0.0488525390625,0.7496441066265106,28.21789621114731,-0.1860899031162262,5.122986316680908,0.11319830268621445,0.26910966634750366,0.0,0.15275909006595612,0.1673182249069214,0.1805334985256195,-1.696836233139038,-1.6684881448745728,-1.6428052186965942,0.0,1.0
281600,275,9,106.96350347672174,115.33333333333333,-0.004590718337567523,7.346794280409813,-0.7487119972705841,0.005490028912026901,0.0479248046875,0.7609908886253833,40.554039168357846,-0.5757483839988708,5.888891220092773,0.1109379455447197,0.26811912655830383,0.0,0.15124765038490295,0.167511448264122,0.18089911341667175,-1.699790358543396,-1.6681365966796875,-1.6420973539352417,0.0,1.0
282624,276,7,107.24095053098074,126.57142857142857,-0.004476763994898647,6.119494408369064,-0.7456990137696267,0.005650228400190827,0.0478271484375,0.746349036693573,33.43723907470703,-1.4930522441864014,5.24470329284668,0.12180179357528687,0.273152232170105,0.0,0.15092863142490387,0.1681693196296692,0.18168790638446808,-1.7004140615463257,-1.6668624877929688,-1.6405705213546753,0.0,1.0
283648,277,8,121.01016690880084,125.25,-0.0061286178533919156,3.591605307161808,-0.7429911881685257,0.005667478243412916,0.06650390625,0.8280968725681305,26.883921432495118,-0.5904102325439453,4.543033599853516,0.11694718152284622,0.2835410237312317,0.0,0.15154023468494415,0.16825447976589203,0.18183669447898865,-1.699218511581421,-1.6666768789291382,-1.6402825117111206,0.0,1.0
284672,278,9,114.6176114167319,118.66666666666667,-0.003609872655943036,5.586528065800667,-0.7447977393865586,0.0047907208383549,0.039990234375,0.7679440349340438,29.784261775016784,-0.2138994038105011,5.46240234375,0.10058283060789108,0.2707241177558899,0.0,0.15063777565956116,0.16764384508132935,0.18349719047546387,-1.7009828090667725,-1.6678695678710938,-1.6370699405670166,0.0,1.0
