total_env_steps,update,completed_episodes,completed_episode_return_mean,completed_episode_length_mean,actor_policy_loss,critic_loss,entropy,approx_kl,clip_fraction,actor_grad_norm,critic_grad_norm,advantage_raw_mean,advantage_raw_std,action_mean,action_std,action_saturation_ratio,raw_log_std_min,raw_log_std_mean,raw_log_std_max,clamped_log_std_min,clamped_log_std_mean,clamped_log_std_max,raw_log_std_gt_max_ratio,finite
912384,891,8,110.94943556469752,108.125,-0.007663308852352202,2.6640654023736716,-2.346911686658859,0.008149335469352082,0.0974853515625,1.4176336780190468,22.892433202266695,-0.4257829785346985,4.1847968101501465,-0.06313109397888184,0.2490415871143341,0.0,-0.12661519646644592,-0.10078854113817215,-0.06765704602003098,-2.2518858909606934,-2.200775384902954,-2.13510799407959,0.0,1.0
913408,892,8,120.90248233458246,131.375,-0.0072003051522187885,3.0779416263103485,-2.3452254831790924,0.006044015704537742,0.0730712890625,1.4817596435546876,23.6542644739151,-0.5697908997535706,4.125683784484863,-0.09803730249404907,0.2730748653411865,0.0,-0.1267862468957901,-0.10081741213798523,-0.06701622158288956,-2.2522225379943848,-2.2008373737335205,-2.1338322162628174,0.0,1.0
914432,893,8,114.12247835914835,125.375,-0.006718436547089368,3.1144498221576216,-2.345001685619354,0.0046574834443163125,0.06982421875,1.5347879528999329,24.708508265018462,1.2574081420898438,4.191003322601318,-0.06610164046287537,0.27083927392959595,0.0,-0.12800414860248566,-0.10067152231931686,-0.06578259915113449,-2.2546191215515137,-2.200547456741333,-2.131375789642334,0.0,1.0
915456,894,9,114.90103932876781,124.55555555555556,-0.009224727482069284,5.6373943239450455,-2.3421872735023497,0.0064464520895853635,0.0934326171875,1.365728071331978,29.07451651096344,-1.2345134019851685,5.165420055389404,-0.06801635771989822,0.2744617760181427,0.0,-0.12685060501098633,-0.09957274049520493,-0.06430204212665558,-2.2523491382598877,-2.1983699798583984,-2.128427028656006,0.0,1.0
916480,895,8,116.18396432694541,129.25,-0.005882823083084077,5.239506587386131,-2.3379683673381804,0.0053082744096172975,0.061767578125,1.5047857478260993,29.295035421848297,0.6506240367889404,5.381452560424805,-0.10497113317251205,0.2742319405078888,0.0,-0.130052849650383,-0.09969096630811691,-0.06284257024526596,-2.2586491107940674,-2.1985790729522705,-2.1255199909210205,0.0,1.0
917504,896,8,125.06565585535638,121.25,-0.005457608960568905,6.277573324739933,-2.3399108052253723,0.0062582232494605705,0.082177734375,1.384382075071335,40.41681649684906,1.540372371673584,5.7578654289245605,-0.03503578528761864,0.26506298780441284,0.0,-0.1289457529783249,-0.10001728683710098,-0.06622086465358734,-2.256471633911133,-2.1992480754852295,-2.1322484016418457,0.0,1.0
918528,897,9,117.521719295021,122.66666666666667,-0.007311761646997183,2.8437788978219034,-2.3427548170089723,0.008928361284779385,0.0769775390625,1.3964337810873986,22.16232007741928,0.43569841980934143,4.133632659912109,-0.044842466711997986,0.27631261944770813,0.0,-0.12926438450813293,-0.10058591514825821,-0.06743494421243668,-2.257098436355591,-2.2003695964813232,-2.1346657276153564,0.0,1.0
919552,898,8,110.60452440613537,120.125,-0.007400166499428451,4.516454562544823,-2.344610893726349,0.004529518456547521,0.073974609375,1.4944922655820847,22.399944591522218,0.6608819365501404,4.626084327697754,-0.0717632994055748,0.2841525375843048,0.0,-0.12793026864528656,-0.10067054629325867,-0.06703256070613861,-2.2544736862182617,-2.2005462646484375,-2.133864641189575,0.0,1.0
920576,899,7,121.10798487033098,132.28571428571428,-0.006794054864440113,3.4084447801113127,-2.3450646460056306,0.007541509534348734,0.081591796875,1.3907129049301148,25.326063668727876,-0.34335941076278687,4.378633499145508,-0.12399661540985107,0.2646864354610443,0.0,-0.12825077772140503,-0.10067152976989746,-0.06751840561628342,-2.2551045417785645,-2.2005550861358643,-2.1348319053649902,0.0,1.0
921600,900,10,121.66946843133303,128.7,-0.00883075965102762,3.0712941639125346,-2.3491721749305725,0.0060963974188780416,0.0779052734375,1.3875850915908814,26.787720882892607,-0.09340615570545197,4.551633358001709,-0.09078288823366165,0.2847149074077606,0.0,-0.13093620538711548,-0.10251408815383911,-0.0701838955283165,-2.2603859901428223,-2.2041919231414795,-2.1401376724243164,0.0,1.0
922624,901,8,122.75841367616096,131.125,-0.007722176751121879,2.208145437389612,-2.359054946899414,0.007128511797054671,0.068310546875,1.544716301560402,21.174116599559785,1.1364672183990479,3.7732510566711426,-0.08465860038995743,0.2810605466365814,0.0,-0.1322374939918518,-0.10344967246055603,-0.07086636871099472,-2.262944221496582,-2.2060394287109375,-2.141495943069458,0.0,1.0
923648,902,7,107.75879073304723,127.0,-0.009428032068535685,2.93179711997509,-2.3630302131175993,0.00793265996617265,0.10078125,1.4075661212205888,19.50731369256973,-0.07288652658462524,4.062745571136475,-0.0724751204252243,0.2873132526874542,0.0,-0.13210263848304749,-0.10407301783561707,-0.0713600292801857,-2.262679100036621,-2.2072741985321045,-2.1424782276153564,0.0,1.0
924672,903,7,150.48613801735019,131.85714285714286,-0.008946238330099731,4.55823283046484,-2.3671757757663725,0.005477368101128377,0.076220703125,1.4147098869085313,46.00379025936127,2.2611660957336426,5.32146692276001,-0.15079088509082794,0.28792625665664673,0.0,-0.13395068049430847,-0.1048583909869194,-0.07074199616909027,-2.266310453414917,-2.2088141441345215,-2.1412484645843506,0.0,1.0
925696,904,9,119.89404291181387,120.55555555555556,-0.009115155832841993,5.797653394937515,-2.3670127511024477,0.00798940763634164,0.0891845703125,1.4752488896250724,26.7711354970932,0.11335568130016327,5.016177654266357,-0.13930603861808777,0.2807596027851105,0.0,-0.13181710243225098,-0.10362536460161209,-0.07038364559412003,-2.262117862701416,-2.2063865661621094,-2.140535354614258,0.0,1.0
926720,905,8,118.00966611956318,123.875,-0.007016710820607841,3.3549055248498916,-2.3609319508075712,0.006326154078124091,0.07109375,1.511847050487995,20.6345764875412,0.44867950677871704,4.167535781860352,-0.10927605628967285,0.2851274907588959,0.0,-0.1312415599822998,-0.10343116521835327,-0.06962498277425766,-2.260986328125,-2.2059948444366455,-2.1390254497528076,0.0,1.0
927744,906,8,121.70811255524052,132.0,-0.00743338514585048,3.348134885728359,-2.361659210920334,0.005249257831019349,0.0878662109375,1.4229151800274848,22.812843203544617,-0.3899080157279968,4.187897205352783,-0.08924456685781479,0.2767382860183716,0.0,-0.13000613451004028,-0.10349053889513016,-0.0705098956823349,-2.2585573196411133,-2.2061283588409424,-2.140786647796631,0.0,1.0
928768,907,8,122.62077686540856,132.25,-0.006907256250269711,3.9354351311922073,-2.362912142276764,0.006101678585400805,0.0736328125,1.452125859260559,26.989208328723908,0.4311731457710266,4.546408176422119,-0.1020742878317833,0.28236284852027893,0.0,-0.1308053880929947,-0.10408935695886612,-0.07062740623950958,-2.260128974914551,-2.207317352294922,-2.1410202980041504,0.0,1.0
929792,908,9,116.08717389828995,126.55555555555556,-0.0066406969330273565,2.6923961684107782,-2.3642286598682403,0.007643069108598866,0.077392578125,1.52564028352499,19.082804143428802,-0.01617678999900818,3.5956673622131348,-0.10064098238945007,0.28295496106147766,0.0,-0.1307113617658615,-0.10353118181228638,-0.06955509632825851,-2.259943962097168,-2.2062008380889893,-2.1388862133026123,0.0,1.0
930816,909,8,115.36810845500571,118.5,-0.006325572181958705,1.409038470685482,-2.363873553276062,0.0077536916185636075,0.0654296875,1.3938589245080948,15.076109373569489,0.45635098218917847,2.8703927993774414,-0.1025138720870018,0.27248823642730713,0.0,-0.1334368884563446,-0.10453308373689651,-0.07099533081054688,-2.265300989151001,-2.2081780433654785,-2.1417524814605713,0.0,1.0
