mode,hop,metric,count,min,mean,median,p1,p5,p95,p99,max,std
nominal,R3->R4,capacity_mbps,10000,28.015883002878258,39.65260802364337,39.3686545444208,29.124475906942617,31.80718013771059,53.11018159526692,56.28368818321533,60.40611129144341,5.9492477255273855
nominal,R3->R4,distance_m,10000,110.18599770470765,238.88189124409212,235.51590222582453,127.60818728959795,143.0421306118412,313.7461458660652,348.10239171522954,364.3606249527198,48.72168651123646
nominal,R3->R4,elevation_angle_deg,10000,0.0005906354670085157,2.160897926378825,1.7820682998284336,0.04047489072461256,0.16459863760423832,5.5127789674815375,7.569896957817023,8.24046865136575,1.7361412052097691
nominal,R3->R4,height_difference_abs_m,10000,0.002655692380955088,8.48892434232768,7.540365068615671,0.18474938877116642,0.6319226220271617,21.686066983888935,24.67982126108447,26.088062518550345,6.220349859048467
nominal,R3->R4,horizontal_distance_m,10000,109.68098115819797,238.63384154941514,235.40898382696014,127.19680499387371,142.93915796803515,313.7101097843109,347.6702282240901,364.0205089758933,48.80057150652277
nominal,R3->R4,snr_db,10000,7.761253274399445,11.624238475268447,11.557887735077415,8.148429651711028,9.067434312724513,15.876958510792134,16.854382474086343,18.11757019870194,1.9031843624016076
nominal,R3->R4,snr_linear,10000,5.97207602154395,16.18827734911943,14.314914997477732,6.5289443243828265,8.067582797776293,38.698653219617,48.46611934605366,64.82716354815922,8.801491973816788
nominal,R4->L,antenna_gain_db,10000,-0.25048028558657986,-0.016696777630357547,-0.0062172655505904435,-0.16576031949101147,-0.06885822008530679,-5.351811654661351e-05,-1.6960822225467537e-06,-1.3196049918008972e-10,0.029341452954573428
nominal,R4->L,antenna_gain_linear,10000,0.943956478514413,0.9961853428133877,0.9985694459218052,0.9625514843018625,0.984269840759149,0.9999876770741913,0.999999609462712,0.999999999969615,0.006642802335529587
nominal,R4->L,capacity_mbps,10000,26.541535691731006,39.96530624375146,38.66675517490001,27.74866743467941,30.786234054523153,52.394222747037276,61.619231618299885,64.31557946766745,6.916791903218825
nominal,R4->L,distance_m,10000,94.34848427430136,238.01810001037032,241.58818287554456,105.72664943759409,146.66702824318907,326.3573163719737,368.50601946760264,386.8025905380981,55.88295621060154
nominal,R4->L,elevation_angle_deg,10000,0.00031582942942802217,2.7182680230524587,2.1700641073785882,0.03580584386971566,0.20113166152001521,7.205006939791142,11.15805655098669,13.693924810853204,2.2801356951982945
nominal,R4->L,height_difference_abs_m,10000,0.0013505753870219905,10.345110803440015,8.942340654660057,0.15733126781839246,0.8234209051811376,24.524113091916064,32.580783174352405,36.867818790115706,7.422506463273714
nominal,R4->L,horizontal_distance_m,10000,92.25403669068467,237.6388552359785,241.19372706049492,105.37854057602675,146.20162175975878,325.9251064524942,367.8167889222478,386.2923780307879,56.046233502202114
nominal,R4->L,snr_db,10000,7.238470650831625,11.716896208063051,11.33144329457579,7.667197200852341,8.720443016718233,15.655719840020957,18.488155327096926,19.310310465434405,2.209690081235248
nominal,R4->L,snr_linear,10000,5.29476958045803,17.217211704454066,13.587649310765721,5.844128008871037,7.448079466749532,36.77663453373875,70.60176084342586,85.31611020282014,11.39087919620703
random_stress,H->R1,antenna_gain_db,3661,-14.440992312131533,-0.2745746058358474,-0.02879703077805858,-3.605360213935347,-1.6510402507630417,-0.00040095129960761425,-1.948424762375497e-05,-1.8185115752045906e-08,0.8850826961871089
random_stress,H->R1,antenna_gain_linear,3661,0.03596671460273348,0.9521803065578718,0.9933911736103578,0.4359774015219211,0.6837478518741585,0.9999076818130368,0.9999955135962513,0.9999999958127224,0.11963769340693581
random_stress,H->R1,capacity_mbps,3661,19.184332135527644,37.56624979264512,35.12361347854298,20.11889438282016,22.19193254340636,61.17504625990854,73.14248247760396,82.03757434860326,11.554724799704601
random_stress,H->R1,distance_m,3661,46.05937329374535,271.24927797721483,272.05723658536283,59.2232438970138,102.03695199852193,462.81694987997366,510.38375830117093,534.2552149186639,107.51458581524268
random_stress,H->R1,elevation_angle_deg,3661,0.0037075627919196568,8.382525746122703,4.6629883488621955,0.12135904062078182,0.5505198061020624,34.21937324207175,48.67832314558101,79.06770344524196,10.721919413623453
random_stress,H->R1,height_difference_abs_m,3661,0.01471246158510553,29.815948881697402,20.860668479768208,0.5909382087416191,2.529712922925512,85.5260657776798,149.07248449485192,166.80875169975894,28.951890391413873
random_stress,H->R1,horizontal_distance_m,3661,12.34402084674847,266.72613758511864,271.3574306332505,41.545812231013706,99.87263333639785,459.78121655615547,508.44714682854647,534.2347333347378,110.7498159373441
