mode,representation,dimension,name,count,min,mean,median,p1,p5,p95,p99,max,std,outside_unit_ratio,clipping_ratio
nominal,raw,2,self_z,40000,129.94272335240183,200.34539434471984,201.69424148772663,137.53751324041994,147.75742383449042,249.4309453732455,256.2920798727441,263.5492528870239,31.072762359518343,1.0,1.0
nominal,raw,3,self_vx,40000,-8.58029225858051,0.5041245385080919,0.17079020564371966,-7.184656474972477,-5.160247453179708,6.547285269611456,8.17013275878883,9.57627118148032,3.534810602051883,0.736328125,0.736328125
nominal,raw,4,self_vy,40000,-9.958347104747022,-0.586854584198472,-0.5129432698892735,-8.699988128968467,-7.384582176097915,6.348763622894393,7.408646385014907,8.271951855306257,4.296754529498134,0.816650390625,0.816650390625
nominal,raw,5,self_vz,40000,-3.3365801220706115,-0.016332979476015107,-0.008556794171293694,-2.868871455657448,-2.303534767415261,2.2141728382864363,2.728954336944276,3.393246577939066,1.2645751149171685,0.396240234375,0.396240234375
nominal,raw,6,up_dx,40000,-298.068186576544,-30.24726314834191,-66.55369913463323,-277.4935345626486,-254.77987675977164,258.4961599641997,284.01176768960454,304.29679312240046,183.61682653210937,0.999267578125,0.999267578125
nominal,raw,7,up_dy,40000,-299.0491329975837,16.398576274088555,3.6664131638506774,-282.6811722063053,-230.27690216655196,258.6739518562283,286.3942053636274,295.54735034365285,156.9385413307338,0.994140625,0.994140625
nominal,raw,8,up_dz,40000,-35.80451260979493,-1.1848719521191033,0.22199029588952612,-25.05187097414634,-20.975134298855068,16.2628549720566,23.22413601483916,31.44422473004454,11.091802738528143,0.929443359375,0.929443359375
nominal,raw,9,up_dvx,40000,-9.66878113774704,-0.24674282446895518,-0.26226641236145376,-3.3795586737749836,-2.8698358569818976,2.2991976780169963,3.7357374963845054,6.579219907408627,1.609363130141096,0.49658203125,0.49658203125
nominal,raw,10,up_dvy,40000,-9.23128095928953,0.23359136965062435,0.2528037650732742,-4.315496518611726,-2.8410122283860773,3.1955886764057375,4.285909059973019,9.55504316624704,1.9219084379742881,0.540283203125,0.540283203125
nominal,raw,11,up_dvz,40000,-4.262433504384413,-0.03701195645362403,-0.018487131443156245,-2.1529118536789076,-1.0427442010125356,1.025782556843025,2.1422639926572247,4.034501287587796,0.7095109118583797,0.105224609375,0.105224609375
nominal,raw,12,up_capacity,40000,27424636.32051014,39690474.9584624,39317131.85819174,29290972.711116467,31700226.857524402,53234395.59329062,58125674.31566882,70411652.23275447,6231114.084333355,1.0,1.0
nominal,raw,13,down_dx,40000,-291.11406228273677,31.55917860906531,72.21541788654417,-277.30212902944186,-255.99961834709632,253.27258990614177,282.30114111217557,318.35068305951313,183.41200159653064,0.99853515625,0.99853515625
nominal,raw,14,down_dy,40000,-315.95646976575915,-17.843521056958988,-9.953401767823493,-290.8075075930275,-258.69804826831455,228.0730890166194,284.7174116616602,299.0491329975837,156.37350329392746,0.992919921875,0.992919921875
nominal,raw,15,down_dz,40000,-33.355676064024124,1.1698126847404038,-0.2752656653163683,-22.96336378626546,-16.200796886041616,19.796671808014423,24.79083128330518,36.867818790115706,11.044759658565319,0.934814453125,0.934814453125
nominal,raw,16,down_dvx,40000,-6.042263370141132,0.2761086809899533,0.23976395067149103,-3.1863290495366776,-2.26256808710865,2.8882908904698494,4.265235395796207,8.271326812709287,1.5914997378148161,0.49462890625,0.49462890625
nominal,raw,17,down_dvy,40000,-9.012425769038774,-0.25003074713284557,-0.2431873412596291,-4.679259302635405,-3.238852619820631,2.8159911158223254,4.562563657465163,8.998810951666487,1.9002056415323445,0.532958984375,0.532958984375
nominal,raw,18,down_dvz,40000,-4.107657443437528,0.034606673092119095,0.02241517982603014,-2.414921329481227,-1.092598841442256,1.1184436003177762,2.6284386770297004,4.193536106518144,0.7339981854981503,0.1123046875,0.1123046875
nominal,raw,19,down_capacity,40000,26541535.691731006,39725606.40666946,39231279.23284991,29260015.189095262,31553577.777176443,52867326.92966625,57657568.433516175,63968751.80962316,6197585.30323121,1.0,1.0
nominal,raw,20,safe_dx,40000,-596.1347731663419,-15.015301610863995,-85.906664791308,-549.861273369272,-513.7277811749806,496.3461383250369,549.2579358981491,596.1355278490144,368.55636486199916,0.99951171875,0.99951171875
nominal,raw,21,safe_dy,40000,-593.4372909870627,-7.040319555146323,-9.712957046813472,-575.7628854254235,-494.20529089689455,493.4216438808188,571.4070638803175,587.1158904156239,311.20558560060846,0.9970703125,0.9970703125
nominal,raw,22,safe_dz,40000,-56.89802476879797,-0.4150949059173677,0.6655573149098473,-48.22508328976272,-36.01877367236338,33.93946440684695,48.91324014953355,60.04705401215361,21.370994318705954,0.9619140625,0.9619140625
nominal,raw,23,safe_dvx,40000,-9.674765854917904,0.15017665080023554,0.08527183324262952,-6.093180324624191,-4.904213368308712,5.581153942989818,6.208878572578287,8.731861102256643,2.9459117121653855,0.7333984375,0.7333984375
nominal,raw,24,safe_dvy,40000,-9.186307715459009,-0.11007117597208707,-0.04272611753079936,-7.137740104932361,-5.934702087829656,5.8820773705899185,7.095027825648604,8.097213742264213,3.457977930487577,0.6923828125,0.6923828125
