mode,episode,seed,reset_success,initial_hl_distance_m,steps,terminated,truncated,termination_reason,outage_steps,warning_steps,min_separation_m,max_hl_distance_m,max_hl_xy_speed_mps,max_hl_abs_z_speed_mps,waypoint_switches,dmax_guard_steps,total_reward
zero_action,1,1000001,True,1406.6234515819597,277,True,False,persistent_outage,25,0,128.39221155722834,1406.6234515819597,6.6217702167321555,3.0,1,0,259.8158161763052
zero_action,2,1000002,True,1373.863708762463,500,False,True,,0,73,41.31162550382147,1373.863708762463,9.944141125550802,3.0,4,0,620.0336498259254
zero_action,3,1000003,True,1419.126767021191,270,True,False,persistent_outage,25,0,202.3527846122214,1419.126767021191,7.731923972005812,3.0,1,0,243.39923209176936
zero_action,4,1000004,True,1000.3918903005635,240,True,False,persistent_outage,25,0,194.37020287508534,1242.1017734723387,7.985309776719258,3.0,2,0,247.51216612914465
zero_action,5,1000005,True,1138.5092473150075,264,True,False,persistent_outage,25,0,217.85367116601037,1445.628931953943,9.006433325779994,3.0,1,0,255.6325397915399
zero_action,6,1000006,True,1187.0261375254486,183,True,False,persistent_outage,25,0,236.40460321874767,1628.4980282013173,8.300298469946254,3.0,0,0,152.2709287295453
zero_action,7,1000007,True,1338.7652712911126,139,True,False,persistent_outage,25,0,139.6915518177209,1447.6525103107695,9.844872051460507,3.0,0,0,101.28664033937326
zero_action,8,1000008,True,1438.0786772757617,171,True,False,persistent_outage,25,0,116.84708448662337,1438.0786772757617,9.471541063975593,3.0,0,0,134.3654609586609
zero_action,9,1000009,True,1438.5812867590141,307,True,False,persistent_outage,25,75,38.070669197691,1438.5812867590141,8.382117641270515,3.0,2,0,291.934638933772
zero_action,10,1000010,True,1240.3335110013434,158,True,False,persistent_outage,25,0,244.39705076307638,1507.823894478291,9.467865906421542,3.0,0,0,124.87377061437402
zero_action,11,1000011,True,1053.2793684234452,219,True,False,persistent_outage,25,0,164.93716815545736,1146.2013235957056,9.302799545729899,3.0,1,0,219.71802046497677
zero_action,12,1000012,True,1139.488670677095,381,True,False,safety_violation,0,29,19.69087029022415,1139.488670677095,7.872494374237124,3.0,2,0,477.58756138890317
zero_action,13,1000013,True,1454.0798930773426,173,True,False,persistent_outage,25,0,285.0591132998347,1646.9918327683517,9.69985242991458,3.0,0,0,124.95521884720225
zero_action,14,1000014,True,1474.4501474108938,146,True,False,persistent_outage,25,0,207.6121330705859,1504.3832698989731,9.469947450428268,3.0,1,0,101.0267773420133
zero_action,15,1000015,True,1189.2650417231805,188,True,False,persistent_outage,25,0,234.4458165645848,1508.928069168864,9.268240435539647,3.0,1,0,162.90641017283642
zero_action,16,1000016,True,1375.7148948561473,259,True,False,persistent_outage,25,0,260.68793074875634,1375.7148948561473,9.469723076665693,3.0,2,0,231.5129564564425
zero_action,17,1000017,True,1164.892242439772,242,True,False,persistent_outage,25,0,143.27624516898496,1164.892242439772,9.1524555729616,3.0,1,0,242.9600144028896
zero_action,18,1000018,True,1212.0386049048977,303,True,False,persistent_outage,25,27,53.67680861295971,1212.0386049048977,9.79779418988046,3.0,2,0,318.82552926903634
zero_action,19,1000019,True,1269.6384113383476,193,True,False,persistent_outage,25,0,131.24908684790245,1269.6384113383476,9.305348053949213,3.0,0,0,173.34111778888717
random_stress,0,2000000,True,1318.505629531544,138,True,False,boundary_violation,0,0,149.78948115269395,1318.505629531544,9.037727666659737,3.0,0,0,157.6513903779079
