candidate,value_normalization,gamma,gae_lambda,run_seed,update,protocol_sha256,validation_seed_count,safety_priority_key,episodes,total_steps,normal_completion_count,collision_count,boundary_count,persistent_outage_count,speed_accel_violations,outage_step_ratio,rate_satisfaction_ratio,mean_e2e_rate_mbps,mean_return,mean_acceleration_mps2,action_saturation_ratio,movement_distance_m,min_link_margin_db,min_separation_m,max_xy_speed_mps,max_abs_z_speed_mps,max_xy_accel_mps2,max_abs_z_accel_mps2
V1H0,True,0.99,0.95,2027,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,14.0,6.0,0.06197297341777765,-0.9017440019073627,-6.846248282223584]",20,3804,0,0,14,6,0,0.06197297341777765,0.9017440019073627,6.846248282223584,196.13025531781537,0.33062144717106545,0.0,882.6596687948273,-1.2736036932298722,41.55358546434002,20.000000000000004,5.0,0.8020519126650778,0.30871227383613586
V1H0,True,0.99,0.95,2027,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,14.0,6.0,0.04730128108959651,-0.9013354065035418,-6.87552449792056]",20,3633,0,0,14,6,0,0.04730128108959651,0.9013354065035418,6.87552449792056,193.94430466683528,0.3108907386857404,0.0,866.3192988719253,-4.58080187724588,52.69031669780779,20.000000000000004,4.463027688860893,0.6513359691253592,0.5120812058448792
V1H0,True,0.99,0.95,2027,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,13.0,7.0,0.0769936808394806,-0.8673249514955605,-6.6332232297062745]",20,3834,0,0,13,7,0,0.0769936808394806,0.8673249514955605,6.6332232297062745,192.2469855497631,0.3325056221977308,0.0,891.1253481244408,-4.941020126702731,28.870125468658554,20.000000000000004,5.328610336780549,0.8049025311189739,0.4050162136554718
V1H0,True,0.99,0.95,2027,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,14.0,6.0,0.07587267477844432,-0.8887627449322443,-6.742162549590307]",20,3400,0,0,14,6,0,0.07587267477844432,0.8887627449322443,6.742162549590307,173.25553290275255,0.4267767900519138,0.0,831.3429994164237,-2.2031674541711115,33.42011563247661,20.000000000000004,6.0,1.2942842065292492,0.470316082239151
V1H0,True,0.99,0.95,2028,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,19.0,1.0,0.013136813997610849,-0.9821651994252079,-7.379906987934258]",20,2593,0,0,19,1,0,0.013136813997610849,0.9821651994252079,7.379906987934258,152.47784763091693,0.36047086719251376,0.0,524.8442358100909,-0.9972165153279624,86.62771356888926,13.454486374466608,5.0,0.6520687560278791,0.7294536828994769
V1H0,True,0.99,0.95,2028,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,18.0,2.0,0.030968972560006476,-0.9651024560114221,-7.205928918902676]",20,2506,0,0,18,2,0,0.030968972560006476,0.9651024560114221,7.205928918902676,140.84984563143894,0.4957537294777197,0.0,657.6068876425966,-1.3392424250322907,71.33799120358232,15.740428798380444,6.0,0.7951144820871664,1.1351262331008893
V1H0,True,0.99,0.95,2028,150,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,18.0,2.0,0.033191116725338046,-0.9649319895478076,-7.187519605576105]",20,2470,0,0,18,2,0,0.033191116725338046,0.9649319895478076,7.187519605576105,138.16562687889066,0.5536053497986421,0.0,715.0342696231987,-1.2448512549125867,83.54254280985282,20.000000000000004,6.0,1.0969680150605243,1.1320528984069833
V1H0,True,0.99,0.95,2028,200,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,14.0,6.0,0.07661368726673926,-0.9060374286884739,-6.79363150212895]",20,2647,0,0,14,6,0,0.07661368726673926,0.9060374286884739,6.79363150212895,134.51684589621468,0.6977251834393815,0.0,1011.9690075956648,-1.582529720030565,40.43059414591133,20.000000000000004,6.0,1.356982229475789,1.337926983833313
V1H1,True,0.995,0.97,2026,50,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,15.0,5.0,0.042884259674939126,-0.9472099798557355,-7.143031654758633]",20,3439,0,0,15,5,0,0.042884259674939126,0.9472099798557355,7.143031654758633,192.62278323922013,0.17469116437691024,0.0,366.2600453346703,-1.0991965059741227,39.88003462903821,12.61757198965715,6.0,0.5578983019952116,0.26044026017189026
V1H1,True,0.995,0.97,2026,100,a385466ab67698514468f31d24230755fc1f683f855663e20938591aae8614db,20,"[0.0,-0.0,0.0,20.0,0.12147309837243583,-0.8703650611510018,-6.520804763121068]",20,4566,0,0,0,20,0,0.12147309837243583,0.8703650611510018,6.520804763121068,220.3210364609718,0.28575510386703434,0.0,1088.249420588029,-2.1357073386189773,23.394269327421505,20.000000000000004,4.302515870798381,0.7611159529950453,0.37709105014801025
